대분류,기준품목,세부품목,대표검색어,별칭·검색변형,산지명여부,산지,주출하시작월,주출하종료월,제철표시,소싱확인권장월,상품등록권장월,시즌유형,판매우선도,시즌근거수준,DB구분,출처·메모
과일,감,월하시감,월하시감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,차랑단감,차랑단감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,청도반시,청도반시,"반시, 청도반시",Y,청도,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,태추단감,태추단감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,레드향,레드향,레드향감귤,N,,1,2,1~2월,11,12,초단기,5,세부품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,천혜향,천혜향,천혜향감귤,N,,2,4,2~4월,12,1,단기,4,세부품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,카라향,카라향,,N,,4,5,4~5월,2,3,초단기,5,세부품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,제주하우스감귤,제주하우스감귤,"하우스귤, 제주하우스감귤, 제주하우스, 하우스감귤",Y,제주,5,9,5~9월,3,4,중장기,4,세부품목,제철판매확장,제철판매 보강
과일,감귤,하우스감귤,하우스감귤,"하우스감귤, 하우스",N,,5,9,5~9월,3,4,중장기,3,세부품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,궁천조생,궁천조생,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,극조생감귤,극조생감귤,"극조생감귤, 극조생",N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,노지감귤,노지감귤,"노지감귤, 노지",N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,미니향,미니향,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,비가림감귤,비가림감귤,"비가림감귤, 비가림",N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,세토카,세토카,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,윈터프린스,윈터프린스,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,유라조생,유라조생,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,제주감귤,제주감귤,"제주귤, 제주감귤, 제주, 감귤",Y,제주,10,3,10~12월·1~3월,8,9,겨울·월동,4,기준품목,추가DB,시장·산지 검색어 보강
과일,감귤,제주레드향,제주레드향,"제주레드향, 레드향감귤, 레드향",Y,제주,10,3,10~12월·1~3월,8,9,겨울·월동,4,기준품목,추가DB,시장·산지 검색어 보강
과일,감귤,제주천혜향,제주천혜향,"천혜향, 천혜향감귤, 제주천혜향",Y,제주,10,3,10~12월·1~3월,8,9,겨울·월동,4,기준품목,제철판매확장,제철판매 보강
과일,감귤,제주카라향,제주카라향,"카라향, 제주카라향",Y,제주,10,3,10~12월·1~3월,8,9,겨울·월동,4,기준품목,제철판매확장,제철판매 보강
과일,감귤,제주한라봉,제주한라봉,"제주한라봉, 한라봉감귤, 한라봉",Y,제주,10,3,10~12월·1~3월,8,9,겨울·월동,4,기준품목,추가DB,시장·산지 검색어 보강
과일,감귤,제주황금향,제주황금향,"황금향, 황금향감귤, 제주황금향",Y,제주,10,3,10~12월·1~3월,8,9,겨울·월동,4,기준품목,제철판매확장,제철판매 보강
과일,감귤,조생감귤,조생감귤,"조생감귤, 조생",N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,진지향,진지향,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,청귤,청귤,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,타이벡감귤,타이벡감귤,"타이벡감귤, 타이벡",N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,탐나는봉,탐나는봉,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,풋귤,풋귤,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,하례조생,하례조생,,N,,10,3,10~12월·1~3월,8,9,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,황금향,황금향,황금향감귤,N,,11,1,11~12월·1~1월,9,10,겨울·월동,3,세부품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감귤,한라봉,한라봉,한라봉감귤,N,,12,3,12~12월·1~3월,10,11,겨울·월동,3,세부품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,개복숭아,개복숭아,"개복숭아, 개",N,,5,11,5~11월,3,4,중장기,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,경산대추,경산대추,"대추, 경산대추",Y,경산,5,11,5~11월,3,4,중장기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,고흥석류,고흥석류,"석류, 고흥석류",Y,고흥,5,11,5~11월,3,4,중장기,4,기준품목,제철판매확장,제철판매 보강
과일,기타과일,고흥유자,고흥유자,"유자, 고흥유자",Y,고흥,5,11,5~11월,3,4,중장기,4,기준품목,제철판매확장,제철판매 보강
과일,기타과일,공주밤,공주밤,"밤, 공주밤",Y,공주,5,11,5~11월,3,4,중장기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,꾸지뽕열매,꾸지뽕열매,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,남고매실,남고매실,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,다래,다래,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,대보밤,대보밤,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,대추,대추,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,돌배,돌배,돌,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,매실,매실,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,머루,머루,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,모과,모과,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,밤,밤,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,보은대추,보은대추,"대추, 보은대추",Y,보은,5,11,5~11월,3,4,중장기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,살구,살구,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,양살구,양살구,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,옥광밤,옥광밤,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,으름,으름,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,은행,은행,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,제주청귤,제주청귤,"청귤, 제주청귤",Y,제주,5,11,5~11월,3,4,중장기,4,기준품목,제철판매확장,제철판매 보강
과일,기타과일,청매실,청매실,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,축파밤,축파밤,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,하코트살구,하코트살구,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,기타과일,황매실,황매실,,N,,5,11,5~11월,3,4,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,고슬딸기,고슬딸기,고슬,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,금실딸기,금실딸기,금실,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,논산딸기,논산딸기,"논산설향딸기, 논산, 딸기, 논산딸기",Y,논산,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,추가DB,시장·산지 검색어 보강
과일,딸기,담양딸기,담양딸기,"담양설향딸기, 담양, 딸기, 담양딸기",Y,담양,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,추가DB,시장·산지 검색어 보강
과일,딸기,두리향딸기,두리향딸기,두리향,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,라즈베리,라즈베리,,N,,11,5,11~12월·1~5월,9,10,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,매향딸기,매향딸기,매향,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,메리퀸딸기,메리퀸딸기,메리퀸,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,복분자,복분자,,N,,11,5,11~12월·1~5월,9,10,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,블랙베리,블랙베리,,N,,11,5,11~12월·1~5월,9,10,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,비타베리,비타베리,,N,,11,5,11~12월·1~5월,9,10,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,산딸기,산딸기,산,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,산청딸기,산청딸기,"산청설향딸기, 산청, 딸기, 산청딸기",Y,산청,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,추가DB,시장·산지 검색어 보강
과일,딸기,설향딸기,설향딸기,설향,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,아리향딸기,아리향딸기,아리향,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,알타킹딸기,알타킹딸기,알타킹,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,장희딸기,장희딸기,장희,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,죽향딸기,죽향딸기,죽향,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,킹스베리,킹스베리,,N,,11,5,11~12월·1~5월,9,10,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,하이베리,하이베리,,N,,11,5,11~12월·1~5월,9,10,겨울·월동,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,딸기,화이트딸기,화이트딸기,화이트,N,,11,5,11~12월·1~5월,9,10,겨울·월동,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,고창멜론,고창멜론,"고창, 멜론, 고창멜론",Y,고창,4,10,4~10월,2,3,중장기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,골드멜론,골드멜론,골드,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,네트멜론,네트멜론,네트,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,달고나멜론,달고나멜론,달고나,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,레드퀸멜론,레드퀸멜론,레드퀸,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,머스크멜론,머스크멜론,머스크,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,무등산멜론,무등산멜론,무등산,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,미니멜론,미니멜론,미니,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,백자멜론,백자멜론,백자,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,성주멜론,성주멜론,"성주, 멜론, 성주멜론",Y,성주,4,10,4~10월,2,3,중장기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,세지멜론,세지멜론,세지,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,양구멜론,양구멜론,양구,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,얼스멜론,얼스멜론,얼스,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,칸탈루프멜론,칸탈루프멜론,칸탈루프,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,파파야멜론,파파야멜론,파파야,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,하니원멜론,하니원멜론,하니원,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,하미과멜론,하미과멜론,하미과,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,허니듀멜론,허니듀멜론,허니듀,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,허니원멜론,허니원멜론,허니원,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,멜론,홈런스타멜론,홈런스타멜론,홈런스타,N,,4,10,4~10월,2,3,중장기,3,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,감천배,감천배,감천,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,그린시스배,그린시스배,그린시스,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,나주배,나주배,"나주신고배, 나주, 배, 나주배",Y,나주,8,11,8~11월,6,7,단기,4,기준품목,추가DB,시장·산지 검색어 보강
과일,배,만풍배,만풍배,만풍,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,미니배,미니배,미니,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,설원배,설원배,설원,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,성환배,성환배,"천안성환배, 성환, 배, 성환배",Y,성환,8,11,8~11월,6,7,단기,4,기준품목,추가DB,시장·산지 검색어 보강
과일,배,슈퍼골드배,슈퍼골드배,슈퍼골드,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,스위트코스트배,스위트코스트배,스위트코스트,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,신고배,신고배,신고,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB+제철보강,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,신화배,신화배,신화,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,애플페어,애플페어,,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,원황배,원황배,원황,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB+제철보강,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,조이스킨배,조이스킨배,조이스킨,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,창조배,창조배,창조,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,천안배,천안배,"천안신고배, 천안, 배, 천안배",Y,천안,8,11,8~11월,6,7,단기,4,기준품목,추가DB,시장·산지 검색어 보강
과일,배,추황배,추황배,추황,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,한아름배,한아름배,한아름,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,화산배,화산배,화산,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB+제철보강,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,배,황금배,황금배,황금,N,,8,11,8~11월,6,7,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,구스베리,구스베리,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,듀크블루베리,듀크블루베리,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,레카블루베리,레카블루베리,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,보리수열매,보리수열매,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,블루베리,블루베리,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,블루크롭블루베리,블루크롭블루베리,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,스파르탄블루베리,스파르탄블루베리,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,아로니아,아로니아,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,엘리자베스블루베리,엘리자베스블루베리,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,오디,오디,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,커런트,커런트,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,베리,크랜베리,크랜베리,,N,,5,8,5~8월,3,4,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,복숭아,경봉복숭아,경봉복숭아,"경봉복숭아, 경봉",N,,6,9,6~9월,4,5,단기,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,복숭아,그레이트복숭아,그레이트복숭아,"그레이트복숭아, 그레이트",N,,6,9,6~9월,4,5,단기,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,복숭아,금봉복숭아,금봉복숭아,"금봉복숭아, 금봉",N,,6,9,6~9월,4,5,단기,5,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
